City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.15,90,100,8.97,SH,1722305263
1,nar'yan-mar,67.6713,53.087,11.82,75,100,5.77,RU,1722305264
2,albany,42.6001,-73.9662,22.24,88,39,2.22,US,1722305259
3,rikaze,29.25,88.8833,16.83,29,0,0.77,CN,1722305267
4,carnarvon,-24.8667,113.6333,19.28,69,0,4.07,AU,1722305268
5,puerto natales,-51.7236,-72.4875,1.29,95,100,1.72,CL,1722305269
6,bredasdorp,-34.5322,20.0403,8.01,83,100,2.57,ZA,1722305271
7,sumbawa besar,-8.5,117.4333,32.41,47,23,2.72,ID,1722305274
8,keflavik,64.0049,-22.5624,9.24,100,75,3.09,IS,1722305275
9,princeville,45.7668,-61.2985,23.2,95,100,5.14,CA,1722305276
10,hithadhoo,-0.6,73.0833,28.41,76,99,5.06,MV,1722305277
11,waitangi,-43.9535,-176.5597,12.68,97,100,4.02,NZ,1722305279
12,blackmans bay,-43.0167,147.3167,10.29,71,97,0.45,AU,1722305280
13,aswan,24.0934,32.907,31.19,27,100,3.39,EG,1722305281
14,bethel,41.3712,-73.414,22.23,89,0,0.0,US,1722305283
15,aasiaat,68.7098,-52.8699,3.28,88,100,2.28,GL,1722305284
16,haiku-pauwela,20.9219,-156.3051,27.9,65,20,12.35,US,1722305285
17,grytviken,-54.2811,-36.5092,-3.13,75,100,3.57,GS,1722305288
18,hawaiian paradise park,19.5933,-154.9731,27.71,71,75,3.6,US,1722305290
19,klyuchi,52.2667,79.1667,22.45,48,11,2.4,RU,1722305291
20,shahrud,36.4182,54.9763,19.34,72,0,5.38,IR,1722305292
21,lobujya,27.95,86.8167,5.23,52,0,2.95,NP,1722305293
22,hotan,37.0997,79.9269,33.18,16,78,3.93,CN,1722305295
23,ushuaia,-54.8,-68.3,-1.94,98,91,1.48,AR,1722305296
24,iqaluit,63.7506,-68.5145,8.85,61,20,8.23,CA,1722305159
25,iskateley,67.6803,53.1512,11.86,75,100,5.77,RU,1722305302
26,kaspiyskiy,45.3929,47.3707,23.55,65,0,3.86,RU,1722305303
27,montepuez,-13.1256,38.9997,15.48,95,27,1.53,MZ,1722305304
28,gdansk,54.3521,18.6464,16.2,93,20,2.06,PL,1722305306
29,manga,11.6636,-1.0731,22.65,92,100,2.19,BF,1722305307
30,fale old settlement,-9.3852,-171.2468,27.03,72,100,10.13,TK,1722305308
31,toba,34.4833,136.85,29.0,68,80,7.08,JP,1722305309
32,chai badan,15.2,101.1333,26.2,85,99,4.92,TH,1722305311
33,kibaya,-5.3,36.5667,12.65,82,45,1.58,TZ,1722305312
34,seymour,38.9592,-85.8903,27.1,93,97,3.35,US,1722305313
35,geraldton,-28.7667,114.6,17.23,94,0,4.12,AU,1722305315
36,prince george,53.9166,-122.753,18.68,88,99,0.89,CA,1722305224
37,chibougamau,49.9168,-74.3659,19.92,55,46,1.65,CA,1722305318
38,bilibino,68.0546,166.4372,12.24,47,92,3.99,RU,1722305320
39,tougan,13.0667,-3.0667,23.16,90,96,3.08,BF,1722305321
40,georgetown,5.4112,100.3354,29.96,74,20,2.57,MY,1722305322
41,hammerfest,70.6634,23.6821,10.25,100,100,1.03,NO,1722305324
42,kodiak,57.79,-152.4072,15.73,51,75,3.09,US,1722305325
43,shetpe,44.1667,52.1167,22.4,43,0,1.22,KZ,1722305326
44,port-aux-francais,-49.35,70.2167,0.85,61,93,6.32,TF,1722305328
45,invercargill,-46.4,168.35,6.68,71,87,6.26,NZ,1722305329
46,adamstown,-25.066,-130.1015,21.58,86,0,7.17,PN,1722305330
47,lauro de freitas,-12.8944,-38.3272,24.01,83,20,1.03,BR,1722305332
48,ust-nera,64.5667,143.2,17.68,61,97,2.16,RU,1722305333
49,whitehorse,60.7161,-135.0538,17.67,42,86,7.6,CA,1722305334
50,richards bay,-28.783,32.0377,15.34,81,0,3.96,ZA,1722305336
51,khorixas,-20.3667,14.9667,10.23,44,11,1.29,NA,1722305337
52,cape canaveral,28.4058,-80.6048,28.93,81,0,2.57,US,1722305338
53,hadibu,12.65,54.0333,25.57,83,100,10.57,YE,1722305339
54,jijiga,9.35,42.8,18.14,81,99,3.95,ET,1722305341
55,puerto ayora,-0.7393,-90.3518,19.75,97,77,1.79,EC,1722305342
56,luena,-11.7833,19.9167,12.01,26,5,0.19,AO,1722305343
57,codrington,-38.2667,141.9667,12.81,62,87,2.73,AU,1722305345
58,thompson,55.7435,-97.8558,20.51,68,100,3.24,CA,1722305347
59,basco,20.4487,121.9702,28.25,83,100,5.5,PH,1722305348
60,la passe,45.5549,-0.8967,25.13,82,100,3.68,FR,1722305349
61,rocky mountain house,52.3668,-114.9188,16.16,78,100,4.21,CA,1722305350
62,olonkinbyen,70.9221,-8.7187,5.12,95,100,9.24,SJ,1722305352
63,ati,13.2154,18.3353,26.69,76,99,5.4,TD,1722305353
64,talcahuano,-36.7167,-73.1167,10.82,58,0,2.57,CL,1722305354
65,constantia,44.1833,28.65,22.61,47,74,7.22,RO,1722305356
66,udachny,66.4167,112.4,14.43,54,11,5.86,RU,1722305358
67,avarua,-21.2078,-159.775,21.03,46,20,6.17,CK,1722305359
68,nova vicosa,-17.8919,-39.3719,22.86,87,17,4.65,BR,1722305360
69,badger,64.8,-147.5333,12.98,88,75,3.09,US,1722305362
70,san fernando,15.0286,120.6898,30.85,64,100,2.0,PH,1722305364
71,kapa'a,22.0752,-159.319,27.18,83,40,8.75,US,1722305366
72,uturoa,-16.7333,-151.4333,23.75,85,87,8.2,PF,1722305367
73,ribeira brava,32.65,-17.0667,23.34,79,0,1.01,PT,1722305368
74,berezovyy,51.6667,135.7,22.12,55,6,1.91,RU,1722305370
75,tindivanam,12.25,79.65,27.63,73,100,5.36,IN,1722305371
76,ta`u,-14.2336,-169.5144,24.96,63,68,11.48,AS,1722305372
77,papatowai,-46.5619,169.4708,5.82,70,99,6.19,NZ,1722305374
78,west island,-12.1568,96.8225,26.99,83,100,5.66,CC,1722305375
79,vangaindrano,-23.35,47.6,18.85,80,41,1.53,MG,1722305376
80,egilsstadir,65.2653,-14.3948,10.85,85,100,2.7,IS,1722305378
81,san antonio de pale,-1.4014,5.6325,22.6,75,100,3.58,GQ,1722305379
82,saint-joseph,-21.3667,55.6167,19.21,70,2,2.4,RE,1722305380
83,maughold,54.2988,-4.3184,14.57,90,54,2.69,IM,1722305382
84,inverloch,-38.6333,145.7167,13.36,52,58,1.6,AU,1722305383
85,tangalle,6.024,80.7911,25.09,71,75,4.93,LK,1722305384
86,longyearbyen,78.2186,15.6401,7.91,93,100,4.63,SJ,1722305386
87,tiksi,71.6872,128.8694,3.2,96,100,3.4,RU,1722305387
88,buba,11.5833,-15.0,24.37,96,95,2.25,GW,1722305389
89,lebu,-37.6167,-73.65,8.38,72,100,2.47,CL,1722305390
90,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,82,75,1.0,RU,1722305391
91,bajil,15.0584,43.2851,31.55,52,64,2.75,YE,1722305392
92,fort mcmurray,56.7268,-111.381,21.16,60,100,4.51,CA,1722305394
93,trairi,-3.2778,-39.2689,24.44,86,63,3.63,BR,1722305395
94,dharmavaram,14.4333,77.7167,26.99,71,100,7.36,IN,1722305396
95,kapoeta,4.7717,33.5903,22.71,84,100,0.86,SS,1722305398
96,kailua-kona,19.6406,-155.9956,28.98,77,100,4.12,US,1722305399
97,al qitena,14.8648,32.3668,28.35,64,19,6.68,SD,1722305400
98,palmer,42.1584,-72.3287,20.78,82,100,2.06,US,1722305117
99,sao vicente,-23.9631,-46.3919,20.1,94,100,5.36,BR,1722305403
100,scottburgh,-30.2867,30.7532,12.06,75,0,3.0,ZA,1722305404
101,smithers,54.7804,-127.1743,21.0,48,74,1.64,CA,1722305405
102,shixing,24.9482,114.0657,30.27,70,5,1.43,CN,1722305407
103,san patricio,28.017,-97.5169,29.93,78,3,5.87,US,1722305408
104,ouddorp,51.8117,3.9347,21.12,70,0,3.91,NL,1722305409
105,atafu village,-8.5421,-172.5159,27.32,75,100,10.12,TK,1722305411
106,punta arenas,-53.15,-70.9167,3.06,93,75,6.17,CL,1722305412
107,borger,52.9233,6.7931,16.13,85,0,2.39,NL,1722305413
108,bikenibeu village,1.3673,173.1241,31.98,66,75,3.09,KI,1722305415
109,sola,-13.8833,167.55,26.07,67,98,8.44,VU,1722305416
110,clinton,42.587,-82.9199,26.18,83,75,4.63,US,1722305417
111,praia da vitoria,38.7333,-27.0667,24.14,94,40,1.2,PT,1722305148
112,sitka,57.0531,-135.33,16.94,72,100,0.0,US,1722305423
113,richland center,43.3347,-90.3868,20.99,94,0,1.6,US,1722305424
114,port mathurin,-19.6833,63.4167,21.86,71,94,6.19,MU,1722305426
115,ocean shores,46.9737,-124.1563,17.38,98,100,5.14,US,1722305426
116,gremda,34.75,10.7833,28.32,47,0,3.53,TN,1722305428
117,suva,-18.1416,178.4415,25.71,53,20,8.23,FJ,1722305429
118,birjand,32.8663,59.2211,21.94,40,0,2.4,IR,1722305431
119,buala,-8.145,159.5921,27.0,81,98,3.89,SB,1722305432
120,jose maria morelos,30.8066,-112.684,35.73,36,1,3.83,MX,1722305434
121,city of balikpapan,-1.242,116.8942,29.97,70,40,4.12,ID,1722305435
122,vadso,70.0744,29.7487,13.49,88,100,1.54,NO,1722305437
123,hobyo,5.3505,48.5268,24.37,83,97,11.29,SO,1722305438
124,qaqortoq,60.7167,-46.0333,7.54,85,100,4.47,GL,1722305440
125,talnakh,69.4865,88.3972,23.8,40,100,3.87,RU,1722305441
126,dudinka,69.4058,86.1778,23.91,43,62,7.02,RU,1722305442
127,savanna-la-mar,18.219,-78.1332,26.63,91,100,1.06,JM,1722305443
128,wailua homesteads,22.0669,-159.378,26.44,85,40,8.75,US,1722305445
129,swakopmund,-22.6833,14.5333,8.32,86,7,1.16,NA,1722305446
130,dakhla,23.6848,-15.958,19.46,95,1,7.24,EH,1722305448
131,college,64.8569,-147.8028,13.03,87,75,3.09,US,1722305449
132,torbat-e jam,35.244,60.6225,23.8,34,0,10.27,IR,1722305450
133,namanga,-2.5433,36.7905,17.37,86,20,1.88,KE,1722305451
134,jamestown,42.097,-79.2353,22.8,94,20,2.06,US,1722305453
135,sao joao da barra,-21.6403,-41.0511,21.31,88,24,6.91,BR,1722305454
136,vila velha,-20.3297,-40.2925,23.3,87,0,3.09,BR,1722305455
137,guiyang,26.5833,106.7167,21.86,92,100,0.92,CN,1722305457
138,viedma,-40.8135,-62.9967,5.69,28,78,7.54,AR,1722305458
139,shingu,33.7333,135.9833,33.92,51,1,1.38,JP,1722305459
140,portland,45.5234,-122.6762,20.85,89,100,0.89,US,1722305054
141,hamilton,39.1834,-84.5333,26.97,83,100,3.09,US,1722305462
142,ubata,-14.2139,-39.5228,18.55,99,32,0.22,BR,1722305463
143,inderbor,48.55,51.7833,25.2,37,48,6.02,KZ,1722305464
144,ormara,25.2088,64.6357,28.36,90,100,6.05,PK,1722305466
145,palikir - national government center,6.9248,158.1611,30.47,84,75,5.14,FM,1722305467
146,sao luiz gonzaga,-28.4083,-54.9608,8.52,87,4,4.56,BR,1722305469
147,jiujiang,29.7333,115.9833,33.21,63,0,1.42,CN,1722305470
148,stanley,54.868,-1.6985,12.5,94,0,3.09,GB,1722305471
149,leiyang,26.4024,112.8591,30.6,66,2,3.39,CN,1722305473
150,rundu,-17.9333,19.7667,12.15,19,2,2.43,NA,1722305474
151,logan,41.7355,-111.8344,30.02,32,0,1.79,US,1722305477
152,sidi ech chahmi,35.659,-0.5217,29.97,48,0,2.57,DZ,1722305478
153,ilulissat,69.2167,-51.1,4.01,93,75,0.0,GL,1722305480
154,mahina,-17.5065,-149.489,22.87,94,75,9.77,PF,1722305424
155,kalymnos,36.95,26.9833,24.74,73,0,5.66,GR,1722305482
156,banda aceh,5.5577,95.3222,28.91,66,100,2.2,ID,1722305483
157,mili,6.0815,171.735,26.99,79,100,4.67,MH,1722305484
158,bamboo flat,11.7,92.7167,29.05,79,40,3.6,IN,1722305486
159,rio san juan,19.6439,-70.0763,26.18,88,72,4.16,DO,1722305487
160,vorgashor,67.5833,63.95,18.77,71,93,3.64,RU,1722305488
161,enewetak,11.3474,162.3373,28.7,76,9,3.08,MH,1722305491
162,surman,32.7567,12.5716,25.41,66,0,0.85,LY,1722305492
163,ivdel',60.6911,60.4206,13.99,94,57,0.75,RU,1722305494
164,neelankarai,12.9455,80.2575,31.07,77,40,3.09,IN,1722305495
165,san jose del guaviare,2.5729,-72.6459,21.71,98,100,1.22,CO,1722305496
166,ribeira grande,38.5167,-28.7,22.1,88,9,1.79,PT,1722305498
167,odienne,9.51,-7.5692,21.08,99,100,1.48,CI,1722305499
168,north bay,46.3168,-79.4663,21.08,83,0,1.02,CA,1722305500
169,borodino,55.9106,94.8983,20.95,84,100,4.5,RU,1722305502
170,kill devil hills,36.0307,-75.676,26.1,74,75,5.66,US,1722305503
171,lihue,21.9789,-159.3672,26.77,77,40,8.75,US,1722305506
172,abinsk,44.8726,38.1611,21.05,90,2,3.03,RU,1722305507
173,port douglas,-16.4833,145.4667,21.68,66,99,8.01,AU,1722305508
174,wewak,-3.5534,143.6268,29.82,67,8,3.48,PG,1722305510
175,novodvinsk,64.4165,40.8122,12.86,93,100,1.48,RU,1722305511
176,hermanus,-34.4187,19.2345,7.11,66,100,2.93,ZA,1722305512
177,sagalo,12.2007,-10.6996,21.09,98,93,0.6,ML,1722305514
178,orapa,-21.2833,25.3667,10.3,15,0,3.72,BW,1722305515
179,al ghayzah,16.2079,52.176,25.39,91,100,1.58,YE,1722305516
180,horta,38.5333,-28.6333,21.68,88,23,1.79,PT,1722305518
181,kavieng,-2.5744,150.7967,28.33,77,94,3.53,PG,1722305519
182,yatou,37.15,122.3833,31.63,73,13,4.58,CN,1722305520
183,kapuskasing,49.4169,-82.4331,21.05,100,100,3.09,CA,1722305522
184,barcelos,41.5388,-8.6151,27.08,62,75,2.0,PT,1722305523
185,abra pampa,-22.7205,-65.697,5.53,59,0,4.1,AR,1722305524
186,nanakuli,21.3906,-158.1547,29.65,49,20,5.66,US,1722305526
187,turuntayevo,52.2,107.6167,23.05,69,14,0.75,RU,1722305527
188,goondiwindi,-28.55,150.3167,15.45,39,0,5.91,AU,1722305528
189,anadyr,64.75,177.4833,19.28,52,40,3.0,RU,1722305529
190,kharp,66.8014,65.8081,17.49,86,100,2.54,RU,1722305531
191,chonchi,-42.6128,-73.8092,5.07,84,100,0.55,CL,1722305532
192,malango,-2.9627,119.9001,23.7,88,53,1.44,ID,1722305533
193,yanam,16.7333,82.2167,28.3,83,90,2.17,IN,1722305535
194,suntar,62.1444,117.6319,18.67,48,0,3.88,RU,1722305536
195,usinsk,65.9939,57.5281,16.41,93,97,3.49,RU,1722305537
196,bel ombre,-4.6167,55.4167,25.91,78,40,6.17,SC,1722305538
197,manay,7.215,126.5397,28.7,71,16,3.33,PH,1722305540
198,mil'kovo,55.6078,37.7956,17.02,65,94,1.08,RU,1722305541
199,laojunmiao,39.8333,97.7333,27.71,16,57,3.97,CN,1722305542
200,morondava,-20.2833,44.2833,17.19,73,0,2.78,MG,1722305544
201,tsiombe,-25.3,45.4833,19.27,79,100,2.21,MG,1722305545
202,garden city,42.3256,-83.331,26.14,86,0,4.63,US,1722305546
203,utrik,11.2278,169.8474,27.84,80,91,9.76,MH,1722305548
204,khorugh,37.4897,71.553,18.94,38,41,0.88,TJ,1722305549
205,burang,30.25,81.1667,13.32,68,0,0.15,CN,1722305550
206,aginskoye,51.1,114.53,25.08,53,52,3.81,RU,1722305552
207,san jeronimito,17.55,-101.3333,26.91,78,75,4.63,MX,1722305553
208,ambon,-3.6954,128.1814,28.82,95,40,3.09,ID,1722305554
209,villanueva,15.3167,-88.0,25.55,89,20,1.54,HN,1722305556
210,al kharijah,25.4514,30.5464,29.77,25,96,3.02,EG,1722305557
211,papao,-17.75,-149.55,22.82,86,61,8.19,PF,1722305558
212,sitia,35.2,26.0986,28.32,62,0,7.14,GR,1722305560
213,pamandzi,-12.7967,45.2794,20.88,78,0,1.03,YT,1722305562
214,nuku'alofa,-21.1333,-175.2,22.24,59,11,9.55,TO,1722305563
215,konarka,19.9,86.1167,27.22,77,95,2.46,IN,1722305564
216,newman,37.3138,-121.0208,31.27,43,0,2.68,US,1722305566
217,nova sintra,14.8667,-24.7167,24.87,76,5,8.22,CV,1722305567
218,saipan,15.1355,145.701,32.39,70,20,5.14,MP,1722305568
219,lompoc,34.6391,-120.4579,16.58,84,100,4.63,US,1722305570
220,nirmali,26.3167,86.5833,30.91,73,2,5.33,IN,1722305571
221,colesberg,-30.72,25.0972,0.97,47,0,1.13,ZA,1722305572
222,yellowknife,62.456,-114.3525,20.29,49,75,2.57,CA,1722305573
223,soteapan,18.2333,-94.8667,25.24,95,98,2.74,MX,1722305575
224,alice springs,-23.7,133.8833,12.75,30,0,5.66,AU,1722305576
225,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1722305577
226,nemuro,43.3236,145.575,14.64,97,100,12.96,JP,1722305579
227,barreirinhas,-2.7469,-42.8264,24.66,89,49,3.49,BR,1722305580
228,ngaoundere,7.3167,13.5833,17.77,96,100,0.97,CM,1722305581
229,bima,-8.4667,118.7167,32.06,55,77,1.06,ID,1722305583
230,deschutes river woods,43.9915,-121.3584,20.24,55,100,1.79,US,1722305584
231,pacific grove,36.6177,-121.9166,21.8,80,100,3.09,US,1722305442
232,port alfred,-33.5906,26.891,12.37,56,10,7.8,ZA,1722305587
233,arraial do cabo,-22.9661,-42.0278,21.69,89,48,9.08,BR,1722305588
234,katabu,-4.9333,122.5167,29.42,61,15,5.1,ID,1722305589
235,puerto deseado,-47.7503,-65.8938,3.0,66,20,6.75,AR,1722305591
236,ihosy,-22.4,46.1167,12.08,68,0,1.48,MG,1722305592
237,enriquillo,17.9,-71.2333,25.57,85,99,4.59,DO,1722305593
238,nelson bay,-32.7167,152.15,15.0,79,88,10.97,AU,1722305437
239,kiruna,67.8557,20.2251,9.51,100,100,2.06,SE,1722305597
240,melendugno,40.2747,18.3368,28.05,89,0,7.72,IT,1722305598
241,hilo,19.7297,-155.09,27.83,74,75,3.6,US,1722305599
242,ingeniero guillermo n. juarez,-23.9,-61.85,14.16,51,100,2.53,AR,1722305601
243,vila franca do campo,37.7167,-25.4333,22.23,92,16,0.98,PT,1722305602
244,prado,-17.3411,-39.2208,24.05,84,10,5.85,BR,1722305603
245,hami,42.8,93.45,36.19,15,0,2.3,CN,1722305605
246,tura,25.5198,90.2201,25.57,95,99,2.89,IN,1722305606
247,limulunga,-15.0969,23.1376,12.78,23,0,2.02,ZM,1722305607
248,zahedan,29.4963,60.8629,28.95,28,100,3.09,IR,1722305609
249,sarupathar,26.1984,93.8094,26.9,94,98,1.68,IN,1722305610
250,namibe,-15.1961,12.1522,17.19,86,86,1.6,AO,1722305611
251,gadzhiyevo,69.2551,33.3362,9.6,95,100,6.41,RU,1722305613
252,taltal,-25.4,-70.4833,14.23,80,64,1.84,CL,1722305614
253,balaklava,44.5,33.6,22.43,45,0,7.29,UA,1722305615
254,kingscliff,-28.2667,153.5667,18.3,48,40,7.72,AU,1722305617
255,vernon,50.2581,-119.2691,22.39,71,100,0.89,CA,1722305618
256,kourou,5.1552,-52.6478,26.03,92,38,2.88,GF,1722305621
257,san pedro pochutla,15.7333,-96.4667,25.95,90,100,0.89,MX,1722305622
258,beloyarskiy,63.7119,66.6722,17.19,85,10,2.05,RU,1722305624
259,guerrero negro,27.9769,-114.0611,20.25,80,61,7.79,MX,1722305625
260,maturin,9.75,-63.1767,23.91,100,100,1.54,VE,1722305627
261,sultanah,24.4926,39.5857,33.25,19,0,4.12,SA,1722305628
262,argostolion,38.1811,20.489,28.19,27,0,1.2,GR,1722305630
263,eureka,40.8021,-124.1637,22.33,82,71,0.89,US,1722305543
264,mount pearl,47.5166,-52.7813,21.36,90,18,2.68,CA,1722305382
265,fuglafjordur,62.244,-6.814,10.26,87,14,5.09,FO,1722305634
266,walvis bay,-22.9575,14.5053,8.38,100,5,3.6,NA,1722305635
267,patiali,27.7167,79.0167,33.22,56,41,3.75,IN,1722305636
268,port macquarie,-31.4333,152.9167,16.05,65,11,1.79,AU,1722305405
269,puerto baquerizo moreno,-0.9,-89.6,20.02,89,100,6.02,EC,1722305639
270,carutapera,-1.195,-46.02,24.99,85,10,3.25,BR,1722305640
271,sarmiento,-45.5882,-69.07,3.51,49,60,2.32,AR,1722305642
272,umluj,25.0213,37.2685,29.66,67,7,0.49,SA,1722305644
273,isafjordur,66.0755,-23.124,8.25,91,100,2.67,IS,1722305645
274,port elizabeth,-33.918,25.5701,13.16,76,0,7.72,ZA,1722305647
